,id,weather_state_name,weather_state_abbr,wind_direction_compass,created,applicable_date,min_temp,max_temp,the_temp,wind_speed,wind_direction,air_pressure,humidity,visibility,predictability
0,6283355251277824,Light Cloud,lc,SSE,2019-02-01T23:38:20.328036Z,2019-02-01,-12.903333333333334,-7.583333333333333,-7.460000000000001,4.1923004774496935,154.87391306218194,1022.505,84,10.90972470770699,70
1,5163551916294144,Light Cloud,lc,SSE,2019-02-01T20:36:19.715132Z,2019-02-01,-12.903333333333334,-7.746666666666667,-7.24,4.244591902449694,157.11870667754525,1022.005,83,13.066504115962776,70
2,4550565073780736,Light Rain,lr,SE,2019-02-01T17:34:20.151634Z,2019-02-01,-13.176666666666668,-9.316666666666666,-10.445,4.378084803905194,146.09544782828203,1021.44,85,13.066504115962776,75
3,5979997147758592,Light Rain,lr,SE,2019-02-01T14:32:21.704952Z,2019-02-01,-13.176666666666668,-9.316666666666666,-10.504999999999999,4.366900153905194,146.09544782828203,1021.44,85,12.969570209973753,75
4,5846816251707392,Light Rain,lr,S,2019-02-01T11:30:20.532541Z,2019-02-01,-14.156666666666666,-9.423333333333334,-11.54,4.968773136576393,168.7710905534541,1022.655,87,11.580494909727193,75
5,5339607591813120,Light Rain,lr,S,2019-02-01T08:28:19.297361Z,2019-02-01,-14.156666666666666,-9.423333333333334,-11.565000000000001,4.946403836576394,168.7710905534541,1022.655,87,11.884034737135131,75
6,4627062719512576,Light Rain,lr,S,2019-02-01T05:26:22.722230Z,2019-02-01,-14.156666666666666,-9.423333333333334,-7.455,6.327708111576394,179.02650770741366,1018.155,88,8.083107154219359,75
7,6403392003899392,Light Rain,lr,SSE,2019-02-01T02:24:23.055503Z,2019-02-01,-13.5,-7.183333333333333,-8.505,4.326377873614094,161.2136778101974,1020.475,85,13.222157599618228,75
8,5805162182475776,Light Rain,lr,SSW,2019-02-02T23:54:20.025356Z,2019-02-02,-1.0333333333333339,4.196666666666666,3.04,7.246561499878045,206.6364261456188,1011.85,89,7.875569176012089,75
9,6115355592228864,Light Rain,lr,SW,2019-02-02T20:52:19.336649Z,2019-02-02,-3.3150000000000004,3.7566666666666664,2.745,8.223756824423369,216.53038893355145,1012.72,89,7.875569176012089,75
10,5427654152945664,Light Rain,lr,SW,2019-02-02T17:50:20.908395Z,2019-02-02,-3.3150000000000004,3.7566666666666664,3.2649999999999997,8.458634474423366,216.53038893355145,1013.22,89,6.899395033007238,75
11,6355200189136896,Showers,s,SW,2019-02-02T14:48:20.473008Z,2019-02-02,-5.236666666666667,-0.8333333333333334,-3.0,8.938730215296669,213.7520583392753,1015.0,91,6.945997872425037,73
12,6056532122796032,Showers,s,SW,2019-02-02T11:46:20.435980Z,2019-02-02,-5.236666666666667,-0.8333333333333334,-3.085,8.882806965296668,213.7520583392753,1014.5,91,6.4113079615048125,73
13,5951475494682624,Showers,s,SSW,2019-02-02T08:44:19.658552Z,2019-02-02,-5.613333333333333,-1.0,-4.0,8.61499604436292,201.76402614648467,1016.9449999999999,93,5.199323451045892,73
14,6684746721525760,Showers,s,SSW,2019-02-02T05:42:22.924516Z,2019-02-02,-5.633333333333333,-0.9933333333333335,-0.6299999999999999,9.14204276936292,193.7351349686276,1013.9449999999999,93,4.8227725085500674,73
15,5144302745288704,Showers,s,SSW,2019-02-02T02:40:23.053336Z,2019-02-02,-5.633333333333333,-0.9933333333333335,-3.625,8.90716511936292,199.79818410753148,1017.4449999999999,93,5.215168416447944,73
16,5747809873559552,Showers,s,SSW,2019-02-03T21:08:19.941877Z,2019-02-03,3.97,6.866666666666667,8.100000000000001,9.087923086530662,204.6213448871943,1006.26,89,6.703973793048596,73
17,5869465023545344,Showers,s,SSW,2019-02-03T18:06:19.741180Z,2019-02-03,3.9266666666666663,6.166666666666667,7.835,9.632008186530662,204.87092487581373,1006.76,90,6.606418515867334,73
18,5078867509248000,Showers,s,SSW,2019-02-03T15:04:19.437159Z,2019-02-03,4.873333333333334,5.906666666666666,7.77,9.706572729599142,203.87477658993035,1007.025,91,6.606418515867334,73
19,5945256382038016,Showers,s,SSW,2019-02-03T12:02:19.960606Z,2019-02-03,4.873333333333334,5.906666666666666,7.495000000000001,9.645057154599142,203.87477658993035,1006.525,91,5.727488964447625,73
20,5550265067372544,Showers,s,SSW,2019-02-03T09:00:19.552680Z,2019-02-03,3.8466666666666662,4.81,6.295,9.730538783665395,203.3752125162527,1008.375,91,2.1309925037779367,73
21,5103529228238848,Light Rain,lr,SSW,2019-02-03T05:58:22.622754Z,2019-02-03,3.8466666666666662,4.81,8.09,10.642087758665394,203.3752125162527,1003.875,92,2.288510101010101,75
22,4620673016135680,Showers,s,SSW,2019-02-03T02:56:22.745811Z,2019-02-03,3.533333333333333,4.596666666666667,6.19,9.896134269317187,204.62308516583835,1006.925,91,2.1309925037779367,73
23,6718196413366272,Light Rain,lr,SW,2019-02-04T21:24:19.604485Z,2019-02-04,-3.6633333333333336,8.51,9.065,8.695088795772687,216.36638087253135,1000.8199999999999,86,6.187303646703253,75
24,5882499779526656,Light Rain,lr,SW,2019-02-04T18:22:19.876507Z,2019-02-04,-3.6633333333333336,8.51,9.23,9.136882470772687,216.36638087253135,1000.8199999999999,86,6.374025689970571,75
25,5149906268323840,Light Rain,lr,SSW,2019-02-04T15:20:20.077780Z,2019-02-04,0.3266666666666668,9.126666666666667,10.67,9.213081573083194,210.40079157156504,1002.23,89,5.883763819295315,75
26,6666854357532672,Light Rain,lr,SSW,2019-02-04T12:18:19.962010Z,2019-02-04,0.3266666666666668,9.126666666666667,10.915,9.157158323083195,210.40079157156504,1001.73,89,5.841199892627058,75
27,6353012037517312,Light Rain,lr,SSW,2019-02-04T09:16:20.246321Z,2019-02-04,-0.39666666666666667,8.623333333333333,10.16,8.95521268560606,208.473694912392,1002.835,90,5.841199892627058,75
28,4823573512323072,Light Rain,lr,SSW,2019-02-04T06:14:19.852246Z,2019-02-04,-0.5266666666666667,8.23,2.7600000000000002,8.375379510606061,203.5,1011.835,84,13.218429372464806,75
29,4940121744867328,Light Rain,lr,SSW,2019-02-04T03:12:23.332170Z,2019-02-04,-4.403333333333333,7.423333333333333,1.5500000000000003,8.880243604298895,212.99999999999997,1008.47,80,13.218429372464806,75
30,6253585222336512,Light Rain,lr,SSW,2019-02-04T00:10:22.901026Z,2019-02-04,-4.46,7.573333333333333,8.935,10.063308154298895,212.36838356945722,999.47,87,5.469309234073013,75
31,6486104433754112,Heavy Rain,hr,NE,2019-02-05T21:40:20.603690Z,2019-02-05,-1.9033333333333333,0.33999999999999997,-0.45999999999999996,7.044085187131154,41.99624499195539,1016.755,84,12.558533166308756,77
32,4735155369410560,Heavy Rain,hr,NE,2019-02-05T18:38:19.268606Z,2019-02-05,-1.9033333333333333,0.33999999999999997,-0.45499999999999996,7.032900537131154,41.99624499195539,1016.755,84,12.578106358864233,77
33,5087832649498624,Light Rain,lr,NNE,2019-02-05T15:36:20.402714Z,2019-02-05,-3.0500000000000003,-1.165,-1.695,7.695336499123121,20.72436189259449,1015.46,81,14.737992623081206,75
34,5745995048550400,Light Rain,lr,NNE,2019-02-05T12:34:21.502757Z,2019-02-05,-3.0500000000000003,-1.165,-1.6400000000000001,7.689744174123121,20.72436189259449,1015.46,81,14.618067982979401,75
35,5297003865047040,Heavy Cloud,hc,NNE,2019-02-05T09:32:19.799990Z,2019-02-05,-3.36,-0.44,-1.34,7.794964324538694,19.58967352537979,1013.395,77,14.77900312176887,71
36,5223727025356800,Heavy Cloud,hc,NNE,2019-02-05T06:30:19.800707Z,2019-02-05,-3.5400000000000005,-0.48,-1.34,7.989964324538694,19.274200295846608,1013.395,76,14.77900312176887,71
37,5855196940861440,Light Rain,lr,NE,2019-02-05T03:28:23.758545Z,2019-02-05,-4.64,-0.22999999999999998,0.44999999999999996,7.473606578374294,38.73482637516011,1012.4649999999999,87,8.81694653225165,75
38,6077842022465536,Heavy Rain,hr,NE,2019-02-05T00:26:24.005379Z,2019-02-05,-4.706666666666667,-0.5033333333333333,-1.08,8.143300703374294,43.459013086222164,1016.4649999999999,80,14.517095164240834,77
